,x,y,trip,heading,oneway
2888,106.67183999999999,10.788261,194,15.357214621023584,-2.0
2889,106.67188,10.788405000000001,194,28.676341325818896,-2.0
2890,106.67201000000001,10.78864,194,48.52151638979599,-2.0
2891,106.67228066666668,10.788876583333336,194,48.52151638979599,-2.0
2892,106.68216651428571,10.78826857142857,195,275.5673634501228,0.0
2893,106.68186708928572,10.788297428571424,195,292.57290109105077,0.0
2894,106.6816232173913,10.78839766304348,195,307.8199596627205,0.0
2895,106.68143071739132,10.788545402173913,195,315.20048450135806,0.0
2896,106.6812644871795,10.788710910256409,195,335.92134149687917,0.0
2897,106.68117507692308,10.788908730769231,195,345.0226717666359,0.0
2898,106.68111797619049,10.789119761904757,195,358.34791776776694,0.0
2899,106.68110931111113,10.789416799999998,195,358.77964716171056,0.0
2900,106.68110358974356,10.789682346153846,195,2.2799029772737915,0.0
2901,106.68111511320755,10.78996851886792,195,0.6064776763121302,0.0
2902,106.68111773809528,10.790213690476188,195,0.5556990965994727,0.0
2903,106.6811200652174,10.79045091304348,195,1.3914601073698065,0.0
2904,106.68112605263157,10.790694622807019,195,13.370720426670864,0.0
2905,106.68117905555552,10.790915092592595,195,15.206623115843598,0.0
2906,106.68122966666668,10.791099184210525,195,29.60418894730061,0.0
2907,106.68133117105265,10.791275815789476,195,29.440256436583176,0.0
2908,106.68142383333338,10.791438140350875,195,46.28830173375435,0.0
2909,106.68156709473685,10.791573552631574,195,46.28830173375435,0.0
2910,106.68858256666668,10.788318716666662,196,308.8829428311126,-1.0
2911,106.68837945161287,10.788480661290324,196,308.0941985073354,-1.0
2912,106.68814348000002,10.788663559999998,196,306.162990525492,-1.0
2913,106.68791268571428,10.78883034285714,196,306.8480958371598,-1.0
2914,106.68767745454544,10.789004636363638,196,314.2105164025801,-1.0
2915,106.68747700000002,10.78919744,196,318.3236655240022,-1.0
2916,106.68728880000002,10.789406460000002,196,305.29074310345135,-1.0
2917,106.68707592857142,10.789555428571427,196,312.498353448516,-1.0
2918,106.68685403225805,10.789756451612904,196,313.0772279893157,-1.0
2919,106.68662353846152,10.78996953846154,196,313.0772279893157,-1.0
2920,106.66796074468088,10.78864520212766,197,300.6297217379134,-1.0
2921,106.66784656363636,10.788712045454542,197,294.5646652340081,-1.0
2922,106.66771657894735,10.788770789473684,197,299.1768779299917,-1.0
2923,106.66755758181816,10.788858563636362,197,294.8446737731175,-1.0
2924,106.6674016031746,10.788929968253964,197,291.83742977609484,-1.0
2925,106.66724494339621,10.788992037735843,197,300.178605492184,-1.0
2926,106.66709057894735,10.789080789473688,197,298.5829773255864,-1.0
2927,106.6669387380953,10.789162583333333,197,294.5924840536096,-1.0
2928,106.66678649206352,10.789231476190476,197,298.0824405648407,-1.0
2929,106.66661546551724,10.78932169827586,197,320.30226284709744,-1.0
2930,106.66651763333336,10.789438216666667,197,341.85860630789637,-1.0
2931,106.66646070370369,10.789610006172838,197,7.095569119122285,-1.0
2932,106.66648278571422,10.789785400000001,197,13.312137166697049,-1.0
2933,106.66653631645573,10.790009082278482,197,351.2000475767916,-1.0
2934,106.66650082795698,10.790235736559136,197,351.2000475767916,-1.0
2935,106.68536750149258,10.788817068656716,198,24.54896845606042,1.0
2936,106.68549049541286,10.78908330428134,198,27.09949581726055,1.0
2937,106.68561507518784,10.789324011278195,198,26.9604727193569,1.0
2938,106.68572407420505,10.789535879858661,198,40.493371602677804,1.0
2939,106.68584298023701,10.789673561264815,198,41.24840978936086,1.0
2940,106.68597237344395,10.789819448132773,198,45.82027659139087,1.0
2941,106.6861068393782,10.789948642487055,198,42.53443279915265,1.0
2942,106.68621436956515,10.790064526086958,198,45.088665051038255,1.0
2943,106.68631978799992,10.790168431999998,198,43.408827893158765,1.0
2944,106.68641386547077,10.790266762331834,198,43.143600670185414,1.0
2945,106.68652637190071,10.790385450413225,198,47.17767287001819,1.0
2946,106.68665685017416,10.790505003484313,198,43.44838670606065,1.0
2947,106.68679647936504,10.790650742857142,198,45.83485657861563,1.0
2948,106.6869407055215,10.790789243865037,198,45.61155806211255,1.0
2949,106.68708797872343,10.79093177792554,198,41.25853435533236,1.0
2950,106.68723222911044,10.791094357142857,198,40.627207986447964,1.0
2951,106.68738142025309,10.791266289873404,198,10.98676177951661,1.0
2952,106.68741929612763,10.7914591810934,198,10.98676177951661,1.0
2953,106.69622166079307,10.789014741189424,199,44.57510250127322,1.0
2954,106.69638484472055,10.78917849378882,199,43.92014895013318,1.0
2955,106.69653624615385,10.789333937500007,199,43.177814397618974,1.0
2956,106.69668872857146,10.789494606122446,199,40.7935792573727,1.0
2957,106.69682486641928,10.789650577922083,199,47.13704999957328,1.0
2958,106.69696537570104,10.789779505607477,199,44.23162660238544,1.0
2959,106.6971034047218,10.789919686340651,199,44.23162660238544,1.0
2960,106.69127464285715,10.789363285714288,200,40.97690949402042,0.0
2961,106.69153643333333,10.789661283333334,200,40.06388971142237,0.0
2962,106.69175066666664,10.789913142857142,200,39.45083046846061,0.0
2963,106.69196810526314,10.790174394736841,200,39.45083046846061,0.0
2964,106.690187119266,10.789618316513765,201,28.496155064417874,-1.0
2965,106.69034264285709,10.789901566326527,201,37.19851236348799,-1.0
2966,106.69055197196262,10.79017424766355,201,30.799705320055924,-1.0
2967,106.69069322549015,10.790408529411769,201,32.56010353839262,-1.0
2968,106.69084580219784,10.790644774725275,201,32.592378093863026,-1.0
2969,106.69100573417721,10.790892101265829,201,34.69703320671878,-1.0
2970,106.6911697226891,10.791126281512604,201,24.54240266558279,-1.0
2971,106.69130573134329,10.791420776119402,201,27.080633938689186,-1.0
2972,106.69143297872341,10.791666835106387,201,27.080633938689186,-1.0
2973,106.68166234999998,10.78968655,202,349.89941875408397,0.0
2974,106.68160537837838,10.790002756756754,202,9.580238141494606,0.0
2975,106.68165365625,10.790285562499998,202,11.735636535476141,0.0
2976,106.68173604347824,10.790677673913043,202,12.16994820819186,0.0
2977,106.6817998695652,10.790970289855073,202,41.13551626460082,0.0
2978,106.68199794285715,10.791194499999998,202,39.822576046717494,0.0
2979,106.68221117816096,10.79144733908046,202,71.05517120936648,0.0
2980,106.68244194594592,10.791525655405405,202,53.380302480781104,0.0
2981,106.68259192592592,10.791635861111107,202,58.355060788432915,0.0
2982,106.68276371428568,10.791740535714288,202,57.92750239114768,0.0
