,vehicle,level_1,datetime,speed,y,x,heading,vehicleType,time_interval,distance,heading_interval,Trip,geometry
0,15C01678,0,2018-04-24 17:56:31,8.0,106.68192100000002,10.765486200000002,30.579251735498552,500,11.0,32.36444497180853,0.0,0,POINT (10.7654862 106.681921)
35,15C01678,35,2018-04-24 18:00:12,6.0,106.6891025,10.773236500000001,50.23692644205934,500,12.0,31.34633987222076,12.138997020502991,0,POINT (10.7732365 106.6891025)
37,15C01678,0,2018-04-24 18:00:35,12.0,106.6893876,10.773686,301.7993886918141,500,8.0,29.61475803468643,287.7214630358799,2,POINT (10.773686 106.6893876)
44,15C01678,7,2018-04-24 18:01:21,19.0,106.6877,10.774692,300.0962673456671,500,7.0,32.88036757588941,0.10541973804424742,2,POINT (10.774692 106.6877)
55,15C01678,18,2018-04-24 18:02:59,23.0,106.68506,10.775964,299.9788364497302,500,5.0,34.10401566026291,2.3636733681031497,2,POINT (10.775964 106.68506)
64,15C01678,27,2018-04-24 18:05:00,16.0,106.682281,10.77753125,301.7662833795064,500,7.0,31.53435330718822,2.510986032663709,2,POINT (10.77753125 106.682281)
66,15C01678,29,2018-04-24 18:05:14,18.0,106.6818825,10.777904125,307.5086043815194,500,6.0,30.91969524575209,16.666865194564707,2,POINT (10.777904125 106.6818825)
67,15C01678,0,2018-04-24 18:05:20,19.0,106.68165533333332,10.778072666666667,269.80020788891096,500,6.0,31.67790279439199,37.708396492608415,3,POINT (10.77807266666667 106.6816553333333)
71,15C01678,4,2018-04-24 18:05:43,23.0,106.68053799999998,10.778398333333335,298.9722714595198,500,5.0,34.26366315170825,2.884175517756092,3,POINT (10.77839833333334 106.680538)
125,15C01678,58,2018-04-24 18:12:11,27.0,106.6646,10.787028,294.8138993082833,500,1.0,8.433514635902226,4.442179240756616,3,POINT (10.787028 106.6646)
143,15C20144,0,2018-04-24 19:28:37,22.0,106.68854749999998,10.784408,223.55242356476228,500,30.0,202.8203163028036,4.507072122066488,10,POINT (10.784408 106.6885475)
153,15C20144,10,2018-04-24 19:31:27,17.0,106.68289666666668,10.778635666666665,228.29551395168326,500,10.0,54.29100465568743,2.24459979638408,10,POINT (10.77863566666666 106.6828966666667)
154,15C20144,11,2018-04-24 19:31:37,21.0,106.6825312,10.7783026,252.90522005714718,500,30.0,112.06000141517723,24.609706105463943,10,POINT (10.7783026 106.6825312)
155,15C20144,12,2018-04-24 19:32:07,12.0,106.6815577,10.77800665,230.7329322525136,500,10.0,33.950341834008796,22.172287804633555,10,POINT (10.77800665 106.6815577)
195,15C20144,0,2018-04-24 21:19:17,25.0,106.688906,10.7816419,46.19808668743783,500,30.0,234.55856735282768,0.19176291345391405,22,POINT (10.7816419 106.688906)
207,15C20144,12,2018-04-24 21:22:27,9.0,106.69726,10.7901745,58.93288807387118,500,20.0,29.38053081101652,19.23302157222345,22,POINT (10.7901745 106.69726)
231,15C23497,0,2018-04-24 18:34:10,6.0,106.689376,10.77366475,209.74967098123557,500,10.0,22.121835133211018,98.2139983258186,33,POINT (10.77366475 106.689376)
242,15C23497,11,2018-04-24 18:37:20,24.0,106.68331666666668,10.767151833333335,223.05812161562562,500,10.0,74.49765765347463,0.08627689782676384,33,POINT (10.76715183333333 106.6833166666667)
244,15C23497,0,2018-04-24 21:28:20,26.0,106.68222866666667,10.765972,43.90145470279951,500,30.0,236.15192641070587,177.38051567427834,35,POINT (10.765972 106.6822286666667)
252,15C23497,8,2018-04-24 21:30:10,8.0,106.68679,10.7710085,48.63930805795741,500,20.0,56.92144274307492,12.70143928086472,35,POINT (10.7710085 106.68679)
255,15C23497,11,2018-04-24 21:31:20,8.0,106.68895066666666,10.773103833333332,38.875252382137276,500,30.0,59.408761720405046,4.191547091325056,35,POINT (10.77310383333333 106.6889506666667)
266,16H8526,0,2018-04-24 17:23:02,33.0,106.6644,10.787118,117.20918982479547,500,5.0,44.27593636968092,161.2835330547369,40,POINT (10.787118 106.6644)
303,16H8526,37,2018-04-24 17:25:56,33.0,106.677475,10.780137,121.96307289586015,500,4.0,38.051558647035066,4.053671296304174,40,POINT (10.780137 106.677475)
317,16H8526,51,2018-04-24 17:27:15,15.0,106.68171055555555,10.77764211111111,96.51424073380377,500,9.0,34.08533903765836,26.932760864046262,40,POINT (10.77764211111111 106.6817105555556)
318,16H8526,52,2018-04-24 17:27:24,20.0,106.6820248,10.7776105,118.80646313624838,500,7.0,45.69467191367031,22.29222240244461,40,POINT (10.7776105 106.6820248)
342,16H8526,76,2018-04-24 17:30:47,2.0,106.689158,10.773859,136.19598421732738,500,19.0,30.71901162660356,17.985390771282766,40,POINT (10.773859 106.689158)
343,16H8526,0,2018-04-24 17:31:06,11.0,106.68935800000001,10.773649166666667,212.7561642821064,500,9.0,38.535569620382034,76.56018006477905,41,POINT (10.77364916666667 106.689358)
349,16H8526,6,2018-04-24 17:31:45,23.0,106.687904,10.771932,229.5660481812285,500,7.0,36.552309929948024,14.365474940899787,41,POINT (10.771932 106.687904)
374,16H8526,31,2018-04-24 17:34:30,13.0,106.68176,10.765695,236.27759180701042,500,8.0,32.90027417038175,0.18027565856075967,41,POINT (10.765695 106.68176)
405,16H8526,0,2018-04-24 19:27:26,23.0,106.68175384615385,10.77802196153846,276.7670199881261,500,11.0,69.85618696814203,41.28182231622355,50,POINT (10.77802196153846 106.6817538461539)
407,16H8526,2,2018-04-24 19:27:42,27.0,106.6808346,10.7782294,299.94903766862035,500,22.0,195.72109025369855,4.965497621768009,50,POINT (10.7782294 106.6808346)
435,16H8526,30,2018-04-24 19:31:52,31.0,106.66504,10.786741,298.289809352867,500,5.0,34.78378253542484,0.4476459899410088,50,POINT (10.786741 106.66504)
441,16L1939,0,2018-04-24 22:17:43,20.0,106.69608499999998,10.791711,234.38457330546242,0,20.0,130.61917665730306,78.37219416221988,54,POINT (10.791711 106.696085)
442,16L1939,1,2018-04-24 22:18:03,27.0,106.69512,10.79102025,222.4637343563509,0,10.0,90.92417279843795,11.920838949111474,54,POINT (10.79102025 106.69512)
457,16L1939,16,2018-04-24 22:21:13,8.0,106.6871648,10.7829598,224.75564436493005,0,50.0,167.16828314754628,2.534081352165572,54,POINT (10.7829598 106.6871648)
466,16L1939,0,2018-04-24 22:24:03,22.0,106.68167,10.778008,129.85009121160982,0,30.0,135.53021401445136,135.22233837003284,57,POINT (10.778008 106.68167)
467,16L1939,1,2018-04-24 22:24:33,26.0,106.68262250000001,10.7772305,119.30602934267316,0,50.0,100.36912584061764,10.544061868936652,57,POINT (10.7772305 106.6826225)
476,16L1939,10,2018-04-24 22:27:23,26.0,106.68805166666668,10.774327666666665,119.84230061064876,0,40.0,146.31946648975654,2.8274179884669763,57,POINT (10.77432766666666 106.6880516666667)
581,18N7081,0,2018-04-24 20:29:39,12.0,106.696785,10.785497,223.80400846608,0,18.0,41.00988110311559,50.4580670132797,135,POINT (10.785497 106.696785)
586,18N7081,5,2018-04-24 20:30:44,13.0,106.69579,10.784688,214.20594030492438,0,15.0,85.8741250497435,29.54805954885694,135,POINT (10.784688 106.69579)
593,18N7081,12,2018-04-24 20:32:18,17.0,106.6932525,10.78175,218.00482344668387,0,46.0,43.639572339119255,5.529812048110244,135,POINT (10.78175 106.6932525)
601,18N7081,0,2018-04-24 20:35:16,11.0,106.691216,10.777717,223.4534491002097,0,51.0,94.9842444560143,32.35701685732573,139,POINT (10.777717 106.691216)
611,18N7081,10,2018-04-24 20:38:20,14.0,106.68747,10.773517,221.7737064665044,0,23.0,95.44724728103688,8.78638982712792,139,POINT (10.773517 106.68747)
716,29C36203,0,2018-04-24 17:09:00,8.0,106.69265535714287,10.788586785714283,228.37345510032964,600,110.0,30.18903040133626,3.824172033589406,186,POINT (10.78858678571428 106.6926553571429)
725,29C36203,9,2018-04-24 17:13:00,5.0,106.69021546666666,10.786082733333336,198.58086131512826,600,10.0,11.723312900203213,27.56333671762516,186,POINT (10.78608273333334 106.6902154666667)
726,29C36203,0,2018-04-24 17:13:10,5.0,106.690188,10.78599142857143,220.43330507495517,600,460.0,17.9198383656375,21.85244375982697,187,POINT (10.78599142857143 106.690188)
736,29C36203,10,2018-04-24 17:22:50,4.0,106.68734382352942,10.783174235294117,201.34570393924275,600,10.0,15.089275480441616,22.551742884676003,187,POINT (10.78317423529412 106.6873438235294)
761,29C36203,0,2018-04-24 17:59:40,19.0,106.68624599999998,10.7790888,45.2228530747169,600,10.0,57.120125661239435,32.048991816872565,198,POINT (10.7790888 106.686246)
773,29C36203,12,2018-04-24 18:02:40,21.0,106.6919915,10.78461225,42.84731698292924,600,10.0,75.75692989119166,6.324776927038847,198,POINT (10.78461225 106.6919915)
786,29C36203,25,2018-04-24 18:05:20,28.0,106.69746599999999,10.790302111111107,41.17987847969261,600,10.0,88.24820575360344,1.293257930389082,198,POINT (10.79030211111111 106.697466)
929,36A26459,0,2018-04-24 17:19:30,47.0,106.6812925,10.792092,133.1105403595073,700,10.0,135.06846756566523,193.52263269171425,275,POINT (10.792092 106.6812925)
954,36A26459,25,2018-04-24 17:25:20,33.0,106.69489000000002,10.7796814,133.61627874480035,700,10.0,86.26790017648564,2.4511723647571,275,POINT (10.7796814 106.69489)
1041,36C18640,0,2018-04-24 17:39:11,12.0,106.69177111111112,10.787637555555555,211.16815112884998,0,130.0,22.053966944050472,12.337981173459525,328,POINT (10.78763755555556 106.6917711111111)
1058,36C18640,17,2018-04-24 17:44:31,4.0,106.68320714285716,10.778938142857141,228.0009825670574,0,20.0,157.14404962433375,15.16738188613661,328,POINT (10.77893814285714 106.6832071428572)
